assessment_id,control_id,year,assessment_result,evidence_status,assessment_date
OA-CTRL-033-2026,CTRL-033,2026,미흡,완료,2026-10-09
OA-CTRL-034-2025,CTRL-034,2025,적정,완료,2025-12-14
OA-CTRL-034-2026,CTRL-034,2026,적정,완료,2026-10-01
OA-CTRL-035-2025,CTRL-035,2025,적정,완료,2025-10-10
OA-CTRL-035-2026,CTRL-035,2026,미흡,불완전,2026-12-05
OA-CTRL-036-2025,CTRL-036,2025,적정,완료,2025-11-05
OA-CTRL-036-2026,CTRL-036,2026,적정,완료,2026-10-17
OA-CTRL-037-2025,CTRL-037,2025,미흡,완료,2025-11-12
OA-CTRL-037-2026,CTRL-037,2026,적정,완료,2026-10-05
OA-CTRL-038-2025,CTRL-038,2025,적정,완료,2025-10-29
OA-CTRL-038-2026,CTRL-038,2026,적정,미제출,2026-11-19
OA-CTRL-039-2025,CTRL-039,2025,미흡,완료,2025-11-28
OA-CTRL-039-2026,CTRL-039,2026,미흡,완료,2026-10-30
OA-CTRL-040-2025,CTRL-040,2025,적정,완료,2025-11-30
OA-CTRL-040-2026,CTRL-040,2026,적정,완료,2026-11-03
OA-CTRL-041-2025,CTRL-041,2025,적정,완료,2025-10-01
OA-CTRL-041-2026,CTRL-041,2026,적정,완료,2026-11-23
OA-CTRL-042-2025,CTRL-042,2025,적정,미제출,2025-12-08
OA-CTRL-042-2026,CTRL-042,2026,적정,완료,2026-11-29
OA-CTRL-043-2025,CTRL-043,2025,적정,완료,2025-12-04
OA-CTRL-043-2026,CTRL-043,2026,적정,완료,2026-11-11
OA-CTRL-044-2025,CTRL-044,2025,적정,완료,2025-12-07
OA-CTRL-044-2026,CTRL-044,2026,적정,불완전,2026-11-02
OA-CTRL-045-2025,CTRL-045,2025,적정,완료,2025-12-01
OA-CTRL-045-2026,CTRL-045,2026,적정,불완전,2026-10-10
OA-CTRL-046-2025,CTRL-046,2025,적정,완료,2025-11-13
OA-CTRL-046-2026,CTRL-046,2026,적정,완료,2026-11-07
OA-CTRL-047-2025,CTRL-047,2025,적정,완료,2025-12-09
OA-CTRL-047-2026,CTRL-047,2026,적정,완료,2026-10-27
OA-CTRL-048-2025,CTRL-048,2025,적정,완료,2025-10-16
OA-CTRL-048-2026,CTRL-048,2026,적정,불완전,2026-11-04
OA-CTRL-049-2025,CTRL-049,2025,적정,완료,2025-11-01
OA-CTRL-049-2026,CTRL-049,2026,적정,완료,2026-10-27
OA-CTRL-050-2025,CTRL-050,2025,미흡,완료,2025-12-08
OA-CTRL-050-2026,CTRL-050,2026,미흡,완료,2026-12-07
OA-CTRL-051-2025,CTRL-051,2025,적정,완료,2025-12-09
OA-CTRL-051-2026,CTRL-051,2026,적정,완료,2026-10-02
OA-CTRL-052-2025,CTRL-052,2025,적정,완료,2025-10-23
OA-CTRL-052-2026,CTRL-052,2026,적정,완료,2026-10-01
OA-CTRL-053-2025,CTRL-053,2025,적정,완료,2025-10-22
OA-CTRL-053-2026,CTRL-053,2026,적정,불완전,2026-12-05
OA-CTRL-054-2025,CTRL-054,2025,적정,완료,2025-11-06
OA-CTRL-054-2026,CTRL-054,2026,미흡,완료,2026-10-21
OA-CTRL-055-2025,CTRL-055,2025,적정,완료,2025-11-29
OA-CTRL-055-2026,CTRL-055,2026,적정,완료,2026-10-25
OA-CTRL-056-2025,CTRL-056,2025,적정,완료,2025-12-12
OA-CTRL-056-2026,CTRL-056,2026,미흡,완료,2026-11-26
OA-CTRL-057-2025,CTRL-057,2025,적정,완료,2025-10-08
OA-CTRL-057-2026,CTRL-057,2026,적정,완료,2026-10-21
OA-CTRL-058-2025,CTRL-058,2025,적정,완료,2025-11-09
OA-CTRL-058-2026,CTRL-058,2026,적정,완료,2026-11-29
OA-CTRL-059-2025,CTRL-059,2025,적정,완료,2025-10-05
OA-CTRL-059-2026,CTRL-059,2026,적정,완료,2026-10-18
OA-CTRL-060-2025,CTRL-060,2025,미흡,완료,2025-11-01
OA-CTRL-060-2026,CTRL-060,2026,미흡,완료,2026-11-01
